matched_product,anchor_store,anchor_price,comparison_store,comparison_product,comparison_price,price_diff_pkr,confidence_score_pct
"deen's mozzarella cheese, 1kg",Naheed (Karachi),2499.0,Metro (Islamabad/Rawalpindi),deen's mozzarella cheese 1kg,2450.0,-49.0,100.0
"comfort lily fresh fabric conditioner, pink, 800ml",Naheed (Karachi),750.0,Metro (Islamabad/Rawalpindi),comfort fabric conditioner pink (lily fresh) 800ml,634.59,-115.40999999999997,100.0
"kiwi shoe polish, black, 20ml",Naheed (Karachi),230.0,Metro (Islamabad/Rawalpindi),kiwi shoe polish black 20ml,110.17,-119.83,100.0
"sabroso shahi tikka, 500g",Naheed (Karachi),1175.0,Metro (Lahore),sabroso shahi tikka 500g,889.83,-285.16999999999996,100.0
"shezan mango fruit drink, 250ml",Naheed (Karachi),125.0,Metro (Lahore),shezan fruit drink mango 250ml,30.2656,-94.7344,100.0
"dairy life pizza shredded cheese, 400g",Naheed (Karachi),1270.0,Metro (Islamabad/Rawalpindi),dairy life pizza cheese shredded 400g,1270.0,0.0,100.0
"dairy life pizza shredded cheese, 200g",Naheed (Karachi),685.0,Metro (Islamabad/Rawalpindi),dairy life pizza cheese shredded 200g,690.0,5.0,100.0
"bakea chocolate fudge brownie mix, 480g",Naheed (Karachi),599.0,Metro (Islamabad/Rawalpindi),bakea chocolate fudge brownie mix 480g,351.99,-247.01,100.0
"bakea dark chocolate cake mix, 430g",Naheed (Karachi),665.0,Metro (Islamabad/Rawalpindi),bakea cake mix dark chocolate 430g,398.87,-266.13,100.0
rose petal pop up tissue,Naheed (Karachi),250.0,Metro (Islamabad/Rawalpindi),rose petal pop up tissue,163.91,-86.09,100.0
"bakea pancake mix original, 450g",Naheed (Karachi),575.0,Metro (Islamabad/Rawalpindi),bakea pancake mix original 450g,359.49,-215.51,100.0
"shezan mango fruit drink, 250ml",Naheed (Karachi),125.0,Metro (Islamabad/Rawalpindi),shezan fruit drink mango 250ml,36.0,-89.0,100.0
"shezan fruit punch drink, 1 liter",Naheed (Karachi),225.0,Metro (Islamabad/Rawalpindi),shezan fruit drink punch 1 ltr,135.099,-89.90100000000001,100.0
"dipitt tabasco sauce, 60ml",Naheed (Karachi),225.0,Metro (Islamabad/Rawalpindi),dipitt tabasco sauce 60ml,173.73,-51.27000000000001,100.0
"cherry  blossom black shoe polish, 42ml",Naheed (Karachi),650.0,Metro (Islamabad/Rawalpindi),cherry blossom shoe polish black 42ml,393.61,-256.39,100.0
"cherry blossom dark tan shoe polish, 42ml",Naheed (Karachi),650.0,Metro (Islamabad/Rawalpindi),cherry blossom shoe polish dark tan 42ml,318.81,-331.19,100.0
"kiwi shoe polish, dark tan, 45ml",Naheed (Karachi),445.0,Metro (Islamabad/Rawalpindi),kiwi shoe polish dark tan 45ml,211.86,-233.14,100.0
"shangrila garlic chilli sauce, 3.25 kg",Naheed (Karachi),1225.0,AlFatah (Faisalabad),shangrila garlic chilli sauce 3.25 kg,1095.0,-130.0,100.0
shan tomato chutney 315gm,Naheed (Karachi),350.0,AlFatah (Faisalabad),shan tomato chutney 315gm,350.0,0.0,100.0
"groove adult chicken dog food, 1.2kg",Naheed (Karachi),999.0,AlFatah (Faisalabad),groove dog food chicken adult 1.2kg,945.0,-54.0,100.0
"dipitt chipotle sauce, 60ml",Naheed (Karachi),205.0,Metro (Islamabad/Rawalpindi),dipitt chipotle sauce 60ml,173.73,-31.27000000000001,100.0
